longname,glot_fam,Longitude,Latitude
NWC.NORTHWEST_CAUCASIAN.ABKHAZ,Abkhaz-Adyge,41.0,43.08
An.MALAYO_SUMBAWAN.ACEH,Austronesian,95.5,5.5
Arw.INLAND_NORTHERN_ARAWAKAN.ACHAGUA,Arawakan,-72.25,4.42
May.MAYAN.AGUACATEC,Mayan,-91.33,15.42
May.MAYAN.AGUACATECO_AGUACATAN,Mayan,-91.33,15.42
An.GREATER_CENTRAL_PHILIPPINE.AKLANON,Austronesian,122.33,11.58
Sep.SEPIK_HILL.ALAMBLAK,Sepik,143.33,-4.67
MM.ALAWA.ALAWA,Mangarrayi-Maran,134.25,-15.17
An.CENTRAL_MALAYO_POLYNESIAN.ALUNE,Austronesian,128.3,-3.0
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARRA,Pama-Nyungan,135.0,-22.5
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARR_ALYAWARA,Pama-Nyungan,135.0,-22.5
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARR_MACDONALDDOWNS_ALYAWARA,Pama-Nyungan,135.0,-22.5
AA.SEMITIC.AMEDYA_ARAMAIC,Afro-Asiatic,43.5,37.1
TNG.MADANG.AMELE,Nuclear_Trans_New_Guinea,145.58,-5.25
MGe.GE_KAINGANG.APANIEKRA,Nuclear-Macro-Je,-45.0,-7.0
Arw.PURUS.APURINA,Arawakan,-67.0,-9.0
AA.SEMITIC.ARABIC_GULF_SPOKEN,Afro-Asiatic,49.0,26.0
AA.SEMITIC.ARABIC_LIBYAN_SPOKEN,Afro-Asiatic,22.0,32.0
AA.SEMITIC.ARABIC_NORTH_LEVANTINE_SPOKEN,Afro-Asiatic,36.0,33.75
An.SOUTH_SULAWESI.ARALLE,Austronesian,119.25,-2.75
Tac.TACANAN.ARAONA,Pano-Tacanan,-67.75,-12.33
NDa.LEZGIC.ARCHI,Nakh-Daghestanian,46.83,42.0
NDa.LEZGIC.ARCHI_2,Nakh-Daghestanian,46.83,42.0
An.OCEANIC.AROSI_TAWATANA,Austronesian,161.33,-10.25
PN.CENTRAL_PAMA_NYUNGAN.ARRARNTA_WESTERN,Pama-Nyungan,132.5,-24.0
Arw.PRE_ANDINE_ARAWAKAN.ASHENINKA_PAJONAL,Arawakan,-74.25,-10.67
AA.SEMITIC.ASSYRIAN_NEO_ARAMAIC,Afro-Asiatic,41.0,36.0
Que.QUECHUAN.ATALLA,Quechuan,-74.87,-12.76
Tor.WAPEI_PALEI.AU,Nuclear_Torricelli,142.08,-3.58
NDa.AVAR_ANDIC_TSEZIC.AVAR,Nakh-Daghestanian,46.5,42.5
NDa.AVAR_ANDIC_TSEZIC.AVAR_ANDALAL,Nakh-Daghestanian,46.96,42.39
NDa.AVAR_ANDIC_TSEZIC.AVAR_ANTSUKH,Nakh-Daghestanian,46.31,42.48
NDa.AVAR_ANDIC_TSEZIC.AVAR_BATLUKH,Nakh-Daghestanian,46.35,42.56
NDa.AVAR_ANDIC_TSEZIC.AVAR_HID,Nakh-Daghestanian,46.72,42.33
NDa.AVAR_ANDIC_TSEZIC.AVAR_KARAKH,Nakh-Daghestanian,46.83,42.24
NDa.AVAR_ANDIC_TSEZIC.AVAR_KUSUR,Nakh-Daghestanian,46.86,42.06
NDa.AVAR_ANDIC_TSEZIC.AVAR_ZAKATALY,Nakh-Daghestanian,46.81,41.62
Sep.RAM.AWTUW,Sepik,142.0,-3.58
AA.BERBER.AYT_SEGHROUCHEN,Afro-Asiatic,-4.67,33.33
PN.WESTERN_PAMA_NYUNGAN.BADIMAYA,Pama-Nyungan,118.0,-27.67
CSu.BONGO_BAGIRMI.BAGIRMI,Central_Sudanic,16.0,11.67
NDa.AVAR_ANDIC_TSEZIC.BAGWALAL,Nakh-Daghestanian,46.17,42.58
An.SAMA_BAJAW.BALANGINGI_SAMA,Austronesian,121.83,6.17
IE.ROMANCE.BALEAR_CATALAN,Indo-European,2.65,39.57
An.MALAYO_SUMBAWAN.BALI,Austronesian,115.25,-8.33
Aru.ARAUAN.BANAWA,Arawan,-65.0,-7.0
An.CELEBIC.BANGGAI,Austronesian,123.17,-1.42
PN.CENTRAL_PAMA_NYUNGAN.BANGGARLA,Pama-Nyungan,137.0,-32.0
An.ENGGANO.BANJAR_SARI_ENGGANO,Austronesian,102.25,-5.42
IE.IRANIAN.BANNU_PASHTO,Indo-European,70.6,32.98
An.SANGIRIC.BANTIK,Austronesian,124.75,1.42
Arw.INLAND_NORTHERN_ARAWAKAN.BARE,Arawakan,-67.0,1.0
An.CELEBIC.BAREE,Austronesian,120.83,-1.75
Alt.TURKIC.BASHKIR,Turkic,58.0,53.0
Bas.BASQUE.BASQUE,Basque,-3.0,43.0
AA.BEJA.BEJA,Afro-Asiatic,36.0,18.0
AA.BEJA.BEJA_2,Afro-Asiatic,36.0,18.0
An.LAMPUNGIC.BELALAU_LAMPUNG_API,Austronesian,105.0,-5.0
IE.INDIC.BENGALI,Indo-European,90.0,24.0
IE.INDIC.BHOIPURI,Indo-European,84.0,26.0
IE.INDIC.BHOJPURI,Indo-European,84.0,26.0
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.BIAK,Austronesian,136.05,-1.17
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.BIAK_2,Austronesian,136.05,-1.17
An.OCEANIC.BIG_NAMBAS_LEVIAMP,Austronesian,167.17,-16.09
An.OCEANIC.BIG_NAMBAS_UNMET,Austronesian,167.25,-16.15
An.CENTRAL_MALAYO_POLYNESIAN.BIMA,Austronesian,118.67,-8.5
IE.GERMANIC.BRABANTIC,Indo-European,4.5,50.75
IE.CELTIC.BRETON,Indo-European,-3.0,48.0
Gun.GUNWINYGIC.BUAN,Gunwinyguan,134.83,-13.5
An.SOUTH_SULAWESI.BUGINESE,Austronesian,120.0,-4.0
An.LAND_DAYAK.BUKAR_SADONG_BIDAYUH,Austronesian,111.0,1.25
Tor.KOMBIO_ARAPESH.BUKIYIP,Nuclear_Torricelli,143.17,-3.42
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.BULI,Austronesian,128.5,1.0
Mng.BURARRAN.BURARRA,Maningrida,134.58,-12.25
Brs.BURUSHASKI.BURUSHASKI,Burushaski,74.5,36.5
An.CENTRAL_MALAYO_POLYNESIAN.BURU_MASARETE,Austronesian,126.5,-3.5
An.PAIWAN.BUTANGLU_PAIWAN,Austronesian,120.83,22.5
UA.CALIFORNIA_UTO_AZTECAN.CAHUILLA,Uto-Aztecan,-116.25,33.5
AA.SEMITIC.CAIRO_ARABIC,Afro-Asiatic,31.0,30.0
Pan.PANOAN.CAPANAHUA,Pano-Tacanan,-74.0,-7.0
IE.ROMANCE.CATALAN,Indo-European,2.0,41.75
IE.ROMANCE.CATALAN_2,Indo-European,2.18,41.38
Tac.TACANAN.CAVINENA_1,Pano-Tacanan,-66.5,-13.33
Tac.TACANAN.CAVINENA_2,Pano-Tacanan,-66.5,-13.33
Cay.CAYUVAVA.CAYUBABA,Cayuvava,-65.5,-13.5
Iro.NORTHERN_IROQUOIAN.CAYUGA,Iroquoian,-76.75,42.75
An.GREATER_CENTRAL_PHILIPPINE.CEBUANO,Austronesian,124.0,10.0
Aym.AYMARAN.CENTRAL_AYMARA,Aymaran,-69.0,-17.0
Aym.AYMARAN.CENTRAL_AYMARA_2,Aymaran,-69.0,-17.0
An.GREATER_CENTRAL_PHILIPPINE.CENTRAL_BICOLANO,Austronesian,123.5,13.33
May.MAYAN.CENTRAL_QUICHE,Mayan,-91.42,15.0
May.MAYAN.CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA,Mayan,-91.33,15.03
Pen.MIWOK.CENTRAL_SIERRA_MIWOK,Miwok-Costanoan,-120.33,38.0
Brs.BURUSHASKI.CENTRAL_YASIN_BURUSHASKI,Burushaski,74.5,36.5
An.CHAMORRO.CHAMORRO,Austronesian,144.75,13.45
OM.ZAPOTECAN.CHATINO_WESTERN_HIGHLAND,Otomanguean,-97.38,16.25
ST.MAHAKIRANTI.CHEPANG,Sino-Tibetan,84.75,27.67
MZ.MIXE_ZOQUE.CHIAPAS_ZOQUE,Mixe-Zoque,-93.25,17.0
Mus.MUSKOGEAN.CHOCTAW,Muskogean,-88.5,32.25
CK.NORTHERN_CHUKOTKO_KAMCHATKAN.CHUKCHEE,Chukotko-Kamchatkan,177.0,65.0
Alt.TURKIC.CHUVASH,Turkic,47.5,55.5
An.SOUTH_SULAWESI.COASTAL_KONJO,Austronesian,120.33,-5.47
Pen.TSIMSHIANIC.COAST_TSIMSHIAN,Tsimshian,-129.0,52.5
Hok.YUMAN.COCOPA,Cochimi-Yuman,-115.0,32.33
UA.NUMIC.COMANCHE,Uto-Aztecan,-101.5,33.5
IE.CELTIC.CORNISH,Indo-European,-5.0,50.33
Mus.MUSKOGEAN.CREEK,Muskogean,-81.06,27.08
Ura.UGRIC.CSANGO,Uralic,26.67,46.57
Tuc.TUCANOAN.CUBEO,Tucanoan,-70.5,1.33
Tuc.TUCANOAN.CUBEO_2,Tucanoan,-70.5,1.33
UA.CALIFORNIA_UTO_AZTECAN.CUPENO,Uto-Aztecan,-116.5,33.17
IE.SLAVIC.CZECH,Indo-European,15.0,50.0
EA.ESKIMO.C_YUPIK,Eskimo-Aleut,-160.0,59.5
An.CELEBIC.DAA,Austronesian,119.58,-1.0
Sio.CORE_SIOUAN.DAKOTA,Siouan,-103.53,50.23
AA.SEMITIC.DAMASCUS_ARABIC,Afro-Asiatic,36.0,33.75
An.SOUTH_SULAWESI.DAMA_DAMA,Austronesian,119.67,-3.08
IE.GERMANIC.DANISH,Indo-European,10.0,56.0
PN.CENTRAL_PAMA_NYUNGAN.DARLING,Pama-Nyungan,142.5,-32.5
An.LAMPUNGIC.DAYA_LAMPUNG_API,Austronesian,105.0,-5.0
An.OCEANIC.DEHU,Austronesian,167.25,-21.0
Alg.ALGONQUIAN.DELAWARE_MUNSEE,Algic,-74.67,41.5
Tuc.TUCANOAN.DESANO,Tucanoan,-69.83,0.83
Tuc.TUCANOAN.DESANO_2,Tucanoan,-69.83,0.83
PN.SOUTHEASTERN_PAMA_NYUNGAN.DHURGA,Pama-Nyungan,150.0,-35.67
Hok.YUMAN.DIEGUENO,Cochimi-Yuman,-116.17,32.67
NC.NORTHERN_ATLANTIC.DIOLA,Atlantic-Congo,-16.0,13.0
PN.CENTRAL_PAMA_NYUNGAN.DIYARI,Pama-Nyungan,139.0,-28.0
Mir.DJINGILI.DJINGILI,Mirndi,134.0,-17.75
An.CENTRAL_MALAYO_POLYNESIAN.DOBEL,Austronesian,134.67,-6.25
Dra.SOUTH_CENTRAL_DRAVIDIAN.DORLI_GONDI,Dravidian,81.33,17.5
LP.LAKES_PLAIN.DOUTAI,Lakes_Plain,138.17,-3.33
IE.GERMANIC.DUTCH,Indo-European,6.0,52.5
PN.NORTHERN_PAMA_NYUNGAN.DYIRBAL,Pama-Nyungan,145.58,-17.83
IE.ARMENIAN.EASTERN_ARMENIAN,Indo-European,45.0,40.0
IE.IRANIAN.EASTERN_FARSI,Indo-European,66.0,35.0
EA.ESKIMO.EAST_GREENLANDIC,Eskimo-Aleut,-40.0,65.0
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.EAST_MAKIAN,Austronesian,127.5,0.0
An.CENTRAL_MALAYO_POLYNESIAN.ELPAPUTIH_SAMASURU_PAULOHIJ,Austronesian,127.98,-5.03
An.CENTRAL_MALAYO_POLYNESIAN.ELPAPUTIH_SERAM_1,Austronesian,127.98,-5.03
An.CENTRAL_MALAYO_POLYNESIAN.ELPAPUTIH_SERAM_2,Austronesian,127.98,-5.03
An.CENTRAL_MALAYO_POLYNESIAN.ELPAPUTIH_SERAM_3,Austronesian,127.98,-5.03
Cho.CHOCO.EMBERA_CHAMI,Chocoan,-76.0,5.0
An.ENGGANO.ENGGANO,Austronesian,102.25,-5.42
IE.GERMANIC.ENGLISH,Indo-European,0.0,52.0
Cho.CHOCO.EPENA_BASURUDO,Chocoan,-77.0,3.0
Cho.CHOCO.EPENA_SAIJA,Chocoan,-77.0,3.0
Tac.TACANAN.ESE_EJJA,Pano-Tacanan,-66.0,-11.0
Ura.FINNIC.ESTONIAN,Uralic,26.0,59.0
Alt.TUNGUSIC.EVENKI_POLIGUS_LITERARY,Tungusic,94.62,61.98
Alt.TUNGUSIC.EWENKI_1,Tungusic,117.0,49.0
Alt.TUNGUSIC.EWENKI_2,Tungusic,122.08,52.18
Kad.KADUGLI.FAMA,Kadugli-Krongo,30.0,10.5
IE.GERMANIC.FAROESE,Indo-European,-7.0,62.0
AA.BERBER.FIGUIG,Afro-Asiatic,-1.5,32.5
An.OCEANIC.FIJIAN,Austronesian,178.0,-17.83
An.OCEANIC.FIJIAN_2,Austronesian,178.0,-17.83
Ura.FINNIC.FINNISH,Uralic,25.0,62.0
An.CENTRAL_MALAYO_POLYNESIAN.FORDATA,Austronesian,131.5,-6.75
TNG.EASTERN_HIGHLANDS.FORE,Nuclear_Trans_New_Guinea,145.5,-6.75
IE.ROMANCE.FRENCH,Indo-European,2.0,48.0
IE.CELTIC.GAELIC_SCOTTISH,Indo-European,-4.0,57.0
WP.NORTH_HALMAHERAN.GALELA,North_Halmahera,128.33,2.42
WP.NORTH_HALMAHERAN.GALELA_2,North_Halmahera,128.33,2.42
PN.SOUTHEASTERN_PAMA_NYUNGAN.GAMILARAAY,Pama-Nyungan,149.5,-29.83
Brs.BURUSHASKI.GANISH_HUNZA_BURUSHASKI,Burushaski,74.5,36.5
Gar.GARRWAN.GARAWA,Garrwan,137.17,-17.08
IE.ROMANCE.GASCON,Indo-European,0.1,43.3
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.GAYO,Austronesian,97.5,4.5
Krt.KARTVELIAN.GEORGIAN,Kartvelian,44.0,42.0
Niv.NIVKH.GILYAK,Nivkh,142.0,53.33
Niv.NIVKH.GILYAK_AMUR,Nivkh,142.0,53.33
Niv.NIVKH.GILYAK_EAST_SAKHALIN,Nivkh,142.0,53.33
Niv.NIVKH.GILYAK_NORTH_SAKHALIN,Nivkh,142.0,53.33
Niv.NIVKH.GILYAK_SOUTH_SAKHALIN,Nivkh,142.0,53.33
Niv.NIVKH.GILYAK_WEST_SAKHALIN,Nivkh,142.0,53.33
NDa.AVAR_ANDIC_TSEZIC.GODOBERI,Nakh-Daghestanian,46.08,42.67
Bun.BUNUBAN.GOONIYANDI,Bunaban,126.33,-18.47
IE.GREEK.GREEK,Indo-European,22.0,39.0
Tup.TUPI_GUARANI.GUARANI,Tupian,-56.0,-26.0
Tup.TUPI_GUARANI.GUARANI_KAIWA,Tupian,-55.0,-23.0
IE.INDIC.GUJARATI,Indo-European,72.0,23.0
Gun.GUNWINYGIC.GUNWINGGU_GUN_DJEIHMI,Gunwinyguan,133.75,-12.5
Gun.GUNWINYGIC.GUNWINGGU_KUNE,Gunwinyguan,133.75,-12.5
Gun.GUNWINYGIC.GUNWINGGU_KUNINJKU,Gunwinyguan,133.75,-12.5
Gun.GUNWINYGIC.GUNWINGGU_KUNWINJKU,Gunwinyguan,133.75,-12.5
Gun.GUNWINYGIC.GUNWINGGU_MANYALLALUK_MAYALI,Gunwinyguan,133.75,-12.5
PN.NORTHERN_PAMA_NYUNGAN.GUUGU_YIMIDHIR,Pama-Nyungan,144.83,-15.0
NC.BANTOID.H166_KONGO_MANYANGA,Atlantic-Congo,15.0,-5.0
NC.BANTOID.HADIMU,Atlantic-Congo,39.0,-6.5
Hai.HAIDA.HAIDA_2,Haida,-132.5,54.0
Brs.BURUSHASKI.HAIDERABAD_HUNZA_BURUSHASKI,Burushaski,74.5,36.5
OC.COOSAN.HANIS_COOS,Coosan,-124.17,43.5
An.GREATER_CENTRAL_PHILIPPINE.HANUNOO,Austronesian,121.25,12.33
An.OCEANIC.HAWAIIAN,Austronesian,-155.5,19.58
An.OCEANIC.HAWAIIAN_2,Austronesian,-155.5,19.58
An.OCEANIC.HAWAIIAN_3,Austronesian,-155.5,19.58
AA.SEMITIC.HEBREW,Afro-Asiatic,34.83,31.5
IE.INDIC.HINDI,Indo-European,77.0,25.0
TNG.DANI.HITIGIMA_DANI,Nuclear_Trans_New_Guinea,138.5,-4.42
Car.CARIBAN.HIXKARYANA,Cariban,-59.0,-1.0
Brs.BURUSHASKI.HOPER_NAGAR_BURUSHASKI,Burushaski,74.5,36.5
UA.HOPI.HOPI,Uto-Aztecan,-110.0,36.0
Tac.TACANAN.HUARAYO_ESE_EJJA,Pano-Tacanan,-70.45,-11.9
May.MAYAN.HUASTEC,Mayan,-99.33,22.08
May.MAYAN.HUASTEC_VERACRUZ,Mayan,-98.25,21.33
Hui.HUITOTO.HUITOTO_NIPODE,Huitotoan,-71.0,-2.42
Hui.HUITOTO.HUITOTO_NUPODE,Huitotoan,-71.0,-2.42
Ura.UGRIC.HUNGARIAN,Uralic,20.0,47.0
NDa.AVAR_ANDIC_TSEZIC.HUNZIB,Nakh-Daghestanian,46.25,42.17
Brs.BURUSHASKI.HUSSAINABAD_HUNZA_BURUSHASKI,Burushaski,74.5,36.5
An.OCEANIC.IAAI,Austronesian,166.58,-20.42
IE.GERMANIC.ICELANDIC,Indo-European,-17.0,65.0
Knm.KUNAMA.ILIT,Kunama,36.92,14.5
An.MALAYO_SUMBAWAN.INDONESIAN,Austronesian,106.0,0.0
An.MALAYO_SUMBAWAN.INDONESIAN_2,Austronesian,106.0,0.0
An.MALAYO_SUMBAWAN.INDONESIAN_JAKARTA,Austronesian,106.75,-6.17
Que.QUECHUAN.INGA_PUTUMAYO,Quechuan,-77.0,1.14
NDa.NAKH.INGUSH,Nakh-Daghestanian,45.08,43.17
Sio.CORE_SIOUAN.IOWA_OTO,Siouan,-96.0,40.5
AA.SOUTHERN_CUSHITIC.IRAQW,Afro-Asiatic,35.5,-4.0
AA.SOUTHERN_CUSHITIC.IRAQW_2,Afro-Asiatic,35.5,-4.0
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.IRARUTU,Austronesian,133.5,-3.0
IE.CELTIC.IRISH_GAELIC,Indo-European,-8.0,53.0
IE.ROMANCE.ITALIAN,Indo-European,12.0,43.0
IE.ROMANCE.ITALIAN_GROSSETO_TUSCAN,Indo-European,12.0,43.0
An.LAMPUNGIC.JABUNG_LAMPUNG_API,Austronesian,105.0,-5.0
May.MAYAN.JACALTEC,Mayan,-91.67,15.67
May.MAYAN.JACALTECO_WESTERN,Mayan,-91.83,15.83
May.MAYAN.JAKALTEKO_EASTERN,Mayan,-91.67,15.67
Aru.ARAUAN.JAMAMADI,Arawan,-67.0,-7.5
IE.GERMANIC.JAMTLANDIC,Indo-European,14.67,63.0
Aym.AYMARAN.JAQARU,Aymaran,-76.0,-13.0
Aym.AYMARAN.JAQARU_2,Aymaran,-76.0,-13.0
Aru.ARAUAN.JARAWARA,Arawan,-65.5,-7.5
PN.WESTERN_PAMA_NYUNGAN.JARU,Pama-Nyungan,128.0,-18.75
Tol.TOL.JICAQUE,Jicaquean,-87.0,14.67
AA.SEMITIC.JILU,Afro-Asiatic,41.0,36.0
NC.NORTHERN_ATLANTIC.JOLA,Atlantic-Congo,-16.0,13.0
NC.BANTOID.K14_LWENA_1,Atlantic-Congo,22.0,-12.0
NC.BANTOID.K14_LWENA_2,Atlantic-Congo,22.0,-12.0
An.CELEBIC.KADATUA,Austronesian,122.27,-5.33
IE.INDIC.KALAMI,Indo-European,72.5,35.5
Kal.KALAPUYAN.KALAPUYA,Kalapuyan,-123.0,44.5
An.LAMPUNGIC.KALIANDA_LAMPUNG_API,Austronesian,105.0,-5.0
Car.CARIBAN.KALINA,Cariban,-56.0,5.5
PN.NORTHERN_PAMA_NYUNGAN.KALKUTUNG,Pama-Nyungan,139.5,-21.0
TAP.GREATER_ALOR.KAMANG,Timor-Alor-Pantar,124.83,-8.25
TAP.GREATER_ALOR.KAMANG_2,Timor-Alor-Pantar,124.83,-8.25
TAP.GREATER_ALOR.KAMANG_KOLOMANE,Timor-Alor-Pantar,124.83,-8.25
TAP.GREATER_ALOR.KAMANG_LANGKURU,Timor-Alor-Pantar,124.83,-8.25
TAP.GREATER_ALOR.KAMANG_LETLEY,Timor-Alor-Pantar,124.83,-8.25
TAP.GREATER_ALOR.KAMANG_PIDO_I,Timor-Alor-Pantar,124.83,-8.25
TAP.GREATER_ALOR.KAMANG_PIDO_II,Timor-Alor-Pantar,124.83,-8.25
An.CENTRAL_MALAYO_POLYNESIAN.KAMBERA,Austronesian,120.5,-9.83
TNG.WISSEL_LAKES_KEMANDOGA.KAPAUKU,Nuclear_Trans_New_Guinea,135.5,-3.83
An.BARITO.KAPUAS_KAHAYAN,Austronesian,114.5,-1.83
IE.IRANIAN.KARAK_PASHTO,Indo-European,71.26,33.16
